,Unnamed: 0,user_id,cleaned_tweets,sentiment,sentiment_category,support_candidate,user_support_candidate,user_support_level
4,97408,43420311.0,biden only helps his economy and  communistchina,0.8253012862987816,positive,1,trump,-0.3333333333333333
6,52964,1.1668309061007442e+18,"a proposed equity split references “20” for “h” and “10 held by h for the big guy?” sources told fox news that ""the big guy"" is a reference to the former vice president.  bidenharris2020landslide  bidenbelieves  bidenharris2020  joebiden  chinajoebiden",0.019712725654244423,positive,1,trump,-0.3333333333333333
7,177936,1852319167.0,"of all the reasons i sincerely hope the polls are wrong, at the forefront has to be difficulty in believing that half of my fellow citizens think  joebiden has all of the answers to anything.  politicstoday",-0.8899511895142496,negative,-1,trump,-0.3333333333333333
14,276305,2277042763.0,"agenderblogger nope. this is not the time for green party spoilers to indulge their egos. if they truly gave a damn about america, or their climate goals, they’d enthusiastically support  biden &amp; then work closely with him on climate. otherwise, they get zero attention from me.",-0.8798333257436752,negative,-1,trump,-0.42857142857142855
27,72535,1.2906351101491692e+18,"because of  covid panic, team  biden made the strategic decision to *not* to invest in a major ground game operation. 

instead, they put nearly all their eggs in the vbm basket.

if their gamble pays off, they’ll be viewed as geniuses.",-0.1545618772506714,negative,-1,trump,-0.4166666666666667
28,247067,1.1542572293037834e+18,"it's the economy, sweetie.
 buildbackbetter  maga  biden  cnn  foxnews  msnbc  outnumbered",0.8658169656991959,positive,1,trump,-0.23076923076923078
40,507778,1.296276988437594e+18,"profleslierose  mehdirhasan its a boomer, some of genx issue. most ppl are more afraid of dying or going bankrupt from a medical bill. dsa won 85% of races this year. dem socialists are gaining. obv ppl arent critically thinking, if they think a vote for  biden of all ppl is a vote against authoritarianism",-0.708599042147398,negative,-1,trump,-0.3584905660377358
50,31463,410399203.0,richardgrenell  joebiden china should love  joebiden ... after all they bought &amp; paid for him &amp; his dirtbag family:),0.5355473607778549,positive,1,trump,-0.375
63,121276,259121785.0,"hey  biden  congress always crying r debt is 2 high,so if  m4a is cheaper then r current system &amp; every  american would b covered,then y dont we have it?  yale study says  medicareforall would save  us $450 billion,prevent nearly 70k deaths a yr    votegreen",-0.7635847348719835,negative,-1,trump,-0.4
71,15448,1492105801.0,hunterbiden to be named head of dept of commerce in  joebiden admin.,0.05200883885845542,positive,1,trump,-0.4444444444444444
107,37235,1.1865708428152504e+18,joebiden is  biden forgetful? forgot the law in the country.,-0.9550262787379324,negative,-1,trump,-0.4838709677419355
109,61217,2963451187.0,"askexpect  patrickwalks1  suermichael  kyledcheney how are you feeling about this news today: 

the director of national intelligence confirms hunter biden laptop ‘not part of some russian disinformation campaign’

 bidenlaptop  biden  hunterbiden  russiahoaxagain",-0.02951795794069767,negative,-1,trump,-0.4
132,171791,8.1518546516702e+17,"jesus. you have to be a real animal to cage children. i understand now why men rushed to enlist to fight nazism. looking forward to the day we eradicate them all in america.
 biden  bidenharris2020tosaveamerica",-0.9099843362346292,negative,-1,trump,-0.4
161,85889,8.1518546516702e+17,"😂  the only bummer about this entire thing is that this moron won't ever hold another job, so he'll have to apply for welfare, and once again, real americans will be supporting those idiots who, given the same opportunity, would have thrown us in cages.   biden",-0.9447224456816912,negative,-1,trump,-0.4
179,30718,1864481918.0,"biden’s nauseating performance is built on a rotting foundation of  falsehood—inflection over  fact— plageurism in place of plan. his camp weaves  strawmen, which this talking prop beats like piñatas. he pins over 200000 deaths on back of the man who stopped china travel in jan.",-0.9713748823851347,negative,-1,trump,-0.3333333333333333
211,172223,17602514.0,"bidecrimefamily 

$40m and rising?

i have a feeling we are just scratching the surface.  joebiden",-0.648533028550446,negative,-1,trump,-0.3333333333333333
216,38267,158403886.0,johnwhuber  highrawmama  biden is a lying sos,-0.9684279174543917,negative,-1,trump,-0.2727272727272727
217,181841,151185146.0,biden proposes commission to explore changes to court system,0.05955203901976347,positive,1,trump,-0.3333333333333333
231,494734,19737700.0,"it's november 5, 2020 -- and  joebiden remains the most corrupt politician in modern history.  prove me wrong.
 elections2020  election2020",-0.971114766318351,negative,-1,trump,-0.3684210526315789
254,396508,1.296276988437594e+18,"rizabellepow in 2018,  biden supported a republican costing  thedemocrats a seat. ( bernie actually helped your team)",0.04133858531713486,positive,1,trump,-0.3584905660377358
274,172210,2494312387.0,there are important reasons  joebiden was never nominated in his other presidential runs..this is not  thevoice where you are told come try again next time. even  obama begged him not to run.,-0.7715908195823431,negative,-1,trump,-0.3333333333333333
284,393561,19616981.0,thehill of course  joebiden team would. spare me. they’ve put the  american people through the wringer.  enoughisenough  shutup,-0.9425667584873736,negative,-1,trump,-0.2857142857142857
301,446734,21352370.0,"kgo810  voiceofmerrill is nevada's republican secretary of state, barbara cegavske engaging in the illegal suppression of election results that would give  biden the final 6 electoral votes he needs to win  election2020 &amp; declare victory?",-0.8092958247289062,negative,-1,trump,-0.30434782608695654
311,54159,1.262708173816787e+18,"fbi investigating whether alleged  hunterbidensemails 
are linked to a foreign intel op. 
 foxnews interviews  johncbussey associate editor of  wsj.
 joebiden lashes out at reporter when asked about  nypost report, calls it a ""smear campaign""
 hunterbiden",-0.5534213036298752,negative,-1,trump,-0.2857142857142857
313,226947,1.262708173816787e+18,"warroompandemic  stevebannon joins  sebgorka to reveal more  hunterbidenlaptop  bidenlaptop.
 hunterbidenemails  hunterbiden  joebiden  bidenfamilycorruption  bidencrimesyndicate  bidencrimefamilly  bidenlaptopsmatter.
 joebiden  bidenharristosaveamerica",-0.07336987741291523,negative,-1,trump,-0.2857142857142857
337,239308,1308638562.0,can see any first responders endorsing  joebiden . no mater how loud he screams at parked cars .,-0.6886730100959539,negative,-1,trump,-0.3
359,107788,25916881.0,just stopping in to observe that people willing to accuse media outlets of conspiring with  russia just for asking probing questions—  probably should not be running the country.   biden  foxnews  nypost,-0.907399331452325,negative,-1,trump,-0.42857142857142855
367,148755,1852319167.0,joebiden says he will create millions of good paying union jobs in electric vehicles. we should ask him for a projection on how many petroleum jobs are lost &amp; how long we keep the lead in any industry where the unions are involved before they price us out of it.  politicstoday,0.03288303315639496,positive,1,trump,-0.3333333333333333
