,Unnamed: 0,user_id,cleaned_tweets,sentiment,sentiment_category,support_candidate,user_support_candidate,user_support_level
12,189386,21813602.0,"the 26% dem very likely .. wow, looks like some people are seeing thru the denials.. oh yes, technically  biden says he didn't receive anything... and he didn't ...  hunterbiden is holding it...  laundering the $$ , so again, he's  misleading voters  vote2020",-0.7561619281768799,negative,-1,neutral,-0.2
35,141492,329054491.0,laughing bystanders egg on punk allegedly beating cop's face bloody in brutal attack another glimpse at a  joebiden  heelsup amerika! via  westjournalism,-0.925068436190486,negative,-1,neutral,-0.16666666666666666
37,53799,1.0265640777227592e+18,"politvidchannel one conclusion to draw from ted's cruz prediction is he wants  biden to win also
first time ever this pos ever spoken a little sense",-0.8352834982797503,negative,-1,neutral,0.09090909090909091
39,312975,289186412.0,"joebiden blue collar, authored violence against women act (vawa), pro lgbtq gay marriage rights and civil rights, foreign policy (salt, start), pro-environment, affordable care act (obamacare), etc. he sounds and acts like a leader of americans.",0.8327725073322654,positive,1,neutral,0.2
46,554566,1.173591245311996e+18,"joebiden
 joebiden
 kamalaharris
 kamalaharris

time for changes
time for new leadership",-0.08002366498112679,negative,-1,neutral,0.1111111111111111
53,31701,1024013112.0,here we go....  joebiden,0.03004385530948639,positive,1,neutral,0.0
61,102256,790546093.0,"crucial reminder about  biden's promise to rally  allies vs  china:  "" europe’s largest economies –  germany, the  unitedkingdom,  france, and  italy – openly defied... obama’s administration by becoming founding members of"" a new  china-created aid bank:",0.10155036300420761,positive,1,neutral,0.08695652173913043
72,89005,9.573191505184196e+17,"lindseygrahamsc  jaimeharrisonsc 
 jaimeharrisonsc 
 jaimeharrisonsc 
 jaimeharrisonsc 
 jaimeharrisonsc 
 jaimeharrisonsc 
 jaimeharrisonsc 
 jaimeharrisonsc 
 jaimeharrisonsc 
 jaimeharrisonsc 
 jaimeharrisonsc 
 jaimeharrisonsc 
 jaimeharrisonsc 
 jaimeharrisonsc 
 jaimeharrisonsc 
 biden",0.01900276355445385,positive,1,neutral,-0.1111111111111111
93,33389,8.589462426966835e+17,"joebiden folks, it’s essential to return in your mail-in ballots. whatever happens to another bunch like this who cares. we need you  joebiden",0.17305719293653965,positive,1,neutral,0.0
99,61860,1.245833410247082e+18,"phaedraxteddy  dongguanboy free speech doesn't account for this

surely we meant that those who share the fundamental values and principles of our democracy have free speech, not the mentally-deranged who form mobs to destroy it all? 

 ccp-funded,  biden-endorsed psychopaths

 covid  covid19",-0.9363943045027554,negative,-1,neutral,-0.09375
111,188096,755798016.0,angelaj84884786 pence is a walking weapon.  biden,-0.49313103035092354,negative,-1,neutral,-0.05555555555555555
151,96585,1.221667348186198e+18,"thursdaymotivation. be better america.  we can have a calm country again in 12 days.

think back to life where politics didn't ruin our daily lives.

 votethemallout 
 bidenharrislandslide2020 
 biden 
 votebluedownballot",0.9252185020595789,positive,1,neutral,0.14285714285714285
156,341051,8.030175399030292e+17,"2a
 rkba
 atf4473
 biden
biden wants to ban 22 ca rifles, (ar15)
regulate 9mm pistolas like bazookas
evidence suggests hunter biden committed federal felony when he purchased gun",-0.7681333008222282,negative,-1,neutral,-0.17647058823529413
157,30626,2500180849.0,has  joebiden ever given details on how he is going to do the things he says he will do?  cnn  msnbc  foxnews,-0.03609483502805233,negative,-1,neutral,-0.09090909090909091
159,420477,1.185566269380137e+18,"shamrocksangel  richbarris pollster/analyst  peoplespunditdaily  ppdnews 
declaired at 11:30am...

whn  foxnews prematurelycalled  az  biden...
theywerelinchpinoftheso-called, stoppingofcount.

 foxnews arnonmishkin, dem""analysis""paid4by  georgesoros...assessingfoxwinnercalls!",0.009858332574367523,positive,1,neutral,0.2
163,41867,3423776937.0,yesnicksearcy  ion_rat  warroompandemic  gatewaypundit  rudygiuliani but that is  america nick.  people get paid for their network and who they know and their reach.  that's corporate america.  if you know no one in the corporate world - you're useless. in the emails there are no expectations from  joebiden.,-0.47554522566497326,negative,-1,neutral,0.09803921568627451
164,94618,20780650.0,honeymoon over? saudi arabia-u.s. ties face reset with biden win economy arabiaus  biden  face  honeymoon  reset  saudi  ties  win,0.04687311872839928,positive,1,neutral,-0.09090909090909091
165,776149,838855718.0,"election2020 

""update: benford’s law has been used to prove  electionfraud in the past – joe  biden’s numbers in  michigan are 99% flawed — no surprise that tech giants are banning this information""~&gt;",-0.9235646503511816,negative,-1,neutral,-0.14285714285714285
167,164744,8.178250669938606e+17,"mommamia1217 djt has no plan for anything, let alone  covid19. tell a djt supporter to visit his website and find a plan. 😂 there are only opportunities to donate &amp; shop. 

 biden has done the work to make plans for the country.",-0.39379114657640457,negative,-1,neutral,-0.13043478260869565
175,592599,1.173591245311996e+18,"usatoday  joebiden
 joebiden
 kamalaharris
 kamalaharris
 senkamalaharris

time for changes
time for new leadership

🙏👍🎉♥️🎉 👏 greetings and congratulations to joe biden, the 46th  potus and kamala harris  vp from  india",0.8749838020885363,positive,1,neutral,0.1111111111111111
180,83997,790546093.0,"obama campaigning for  biden  pennsylvania, where both  joebiden and  jillbiden have deep roots, sure looks like a sign that it's not over:     election2020  politics  battlegrounds  itsover?  overism",0.22310450673103333,positive,1,neutral,0.08695652173913043
187,607747,7.111984322626437e+17,"fox declares

 biden now has 100% msm media insulation with jack censoring tweets like crazy. all planned out 

it’s ok. we’ll give these complete degenerate dems a clean chance.  of course stimulus gets done. that’s least of issues. 

dems have no issues spending $!",-0.4851091094315052,negative,-1,neutral,0.0
204,194569,53222655.0,name something more appalling than  joebiden allowing his son  hunterbiden to raise millions of dollars for the 'family' by selling access to the vice president.,-0.9726108296308666,negative,-1,neutral,-0.1111111111111111
214,764965,2866149777.0,"you know what  jack 

why are you afraid of me jack?

why is twitter afraid of me?

i must be someone special!

 breakingnews  newsalert  shadowbanned  twitterweek  biden  byedon  sundaymorning  sundaythoughts",-0.6616984279826283,negative,-1,neutral,0.1111111111111111
215,249359,53222655.0,"the democrat presidential candidate.  joebiden in iowa. 

you tell em joe. btw where is  hunterbiden",0.04899509996175766,positive,1,neutral,-0.1111111111111111
219,177766,23763190.0,"i want my president to: 

believe in science and listen to the experts 

have a plan to deal with a national crisis 

care if americans live or die 

 joebiden will be that president!

 bidenhasaplan 
 votebidenharris2020
 votebluedowntheballot
 wearefresh",0.2956775352358818,positive,1,neutral,0.0
226,17282,790546093.0,time for  gstephanopoulos to step in and remind  biden that the  afghanistan  bounty charges remain completely unverified.   bidentownhall  biden  foreignpolicy  factsmatter  election2020  politics,-0.028328094631433487,negative,-1,neutral,0.08695652173913043
228,736371,1.177242032189956e+18,"yes, of course, socialist think alike. that's a fact. another thing, more  fakenews. today is london’s november 8th,”remembrance sunday.” fireworks over london has nothing to do with  joebiden  elections2020",-0.5393669065088034,negative,-1,neutral,0.1111111111111111
230,467981,881604271.0,biden is closer to  whitehouse,0.5611154439393431,positive,1,neutral,0.09090909090909091
232,1750,1.1484121256620646e+18,"why are facebook and twitter always protecting  joebiden?

ever see the film  lethalweapon2",-0.7142315641976893,negative,-1,neutral,0.15789473684210525
235,51715,91453718.0,"— tucker carlson: the joe biden story twitter and facebook don't want you to read —

 bidenrally  sundaymorning  60minutes  bidenlaptop  biden rimefamily  joebiden",-0.5537403542548418,negative,-1,neutral,0.0
246,76566,108416118.0,starting now! join  votersassemble!  joebiden,0.29121510148979723,positive,1,neutral,0.14285714285714285
269,327633,187796215.0,giuliani and an indifferent  whitehouse- a  counterintelligence nightmare for u.s. intelligence.  nationalsecurity  ukraine  biden  disinformation,-0.9640711583197117,negative,-1,neutral,-0.1111111111111111
272,163090,755798016.0,this is huge. anyone who doesn’t agree with him can get the axe. sounds like a dictatorship to me.  biden,-0.8379290839657187,negative,-1,neutral,-0.05555555555555555
281,182741,1024013112.0,hardly a sound bite passes without errors..... nice guy but!  joebiden,-0.8512029526755214,negative,-1,neutral,0.0
282,178714,3098633816.0,"his father’s illness and his family’s difficulties have made quality, affordable healthcare for all americans one of the priorities of his campaign.    joebiden  bidenharrislandslide2020  bidencoalition  demcastca  demcast  vote  votebluedownballot  texas",0.12796257063746452,positive,1,neutral,0.14285714285714285
291,33550,148445121.0,"bidentownhall  biden  bidenharris  bidenwonthedebate  bidenemails  bidenemail  biden2020  bidenharris2020tosaveamerica  bidenharris2020toendthisnightmare 

source on alleged hunter biden email chain verifies messages about chinese investment firm    foxnews",0.03521832078695297,positive,1,neutral,-0.07692307692307693
295,201976,66598468.0,maddow  maddow  maddowblog  msnbc  cnnpolitics  abcnews  nbcnews  cbs  politico  mediaite  thinkprogress  democrats  christians  libertarians  joebiden  joebiden  huffpostpol  theatlantic  slate  salon  mmfa  dailykos  moveon  theroot  motherjones,0.05192459002137184,positive,1,neutral,0.1
308,85065,2520031.0,gatewaypundit  dineshdsouza he likes what he likes!  joebiden,0.6076996722258627,positive,1,neutral,0.09090909090909091
347,282131,9.573191505184196e+17,"once t loses his protection as pres &amp; he knows all the truths will be revealed—he’ll run...

on his october 16 rally in ga, he said if biden wins, “maybe i’ll have to leave the country”...why say that unless u fear something🤷🏾‍♀️

only guilty ppl fearing being caught run...

 biden",-0.9238007368985564,negative,-1,neutral,-0.1111111111111111
371,313752,29097819.0,"“i think this is probably one of the reasons [why] president obama did not encourage the vice president to run so this is a huge mess.”

 senronjohnson suggested that the  hunterbidenscandal may be why obama didn’t encourage  joebiden to run for president.",-0.9345846574287862,negative,-1,neutral,-0.18181818181818182
374,165914,1.264249851056984e+18,"i think we should take a break from politics and recognize that  khabibnurmagomedov, arguably one of the most dominant ufc fighters of all time today retired. i think we should also recognize that his most fervent dying wish is that  joebiden be elected president.
 karin4congress",0.04918356239795685,positive,1,neutral,0.15384615384615385
376,770236,1.0265640777227592e+18,"nealerichmond  speakerpelosi seems the foolish &amp; dim  danieljhannon knows absolutely nothing about 🇺🇸 politics way &amp; means &amp; congress scrutinize trade deals congress vote on it potus signs it &amp; no new senate until after jan 5th.
 georgia 
 biden",-0.9048048364929855,negative,-1,neutral,0.09090909090909091
391,572571,68806595.0,cnn calls  election2020 for  joebiden,0.05305021326057613,positive,1,neutral,0.09375
412,51096,3091791987.0,"great, rob! now let's wait for  biden campaign to respond vociferously.",0.8603643886744976,positive,1,neutral,-0.14285714285714285
