,Unnamed: 0,user_id,cleaned_tweets,sentiment,sentiment_category,support_candidate,user_support_candidate,user_support_level
1,500177,341031031.0,"juliebrexitdone  kateandrs  kateandrs impartial? she is a  democrat to her pointy toes. the fact  biden is a cheat, a crook and a predatory pervert means nothing to her.",-0.9657973847351968,negative,-1,trump,-0.9142857142857143
2,238116,4113371687.0,i”d rather go to a wake of a relative i despise than a  sleepyjoe  circlejerkrally.  joebiden is a senile buffoon.,-0.9796822667121887,negative,-1,trump,-0.8
3,41527,1052890357.0,demnevada  gopchairwoman  joebiden calls military people “stupid bastards”,-0.976078974083066,negative,-1,trump,-0.5294117647058824
10,552211,1.0247779165409649e+18,"nydailynews ayatollah  biden 's  corruption electoral fraud campaign
we are coming to karbala michigan shiites
top left-wings soros 
 globalists involved in world politics  corruption vandalization war revolution terrorism leftism islamists virus 
 media_control etc",-0.9196993950754404,negative,-1,trump,-0.9710144927536232
15,184139,286013431.0,check out moonking's video!  tiktok  joebiden,0.45812973310239613,positive,1,trump,-0.7777777777777778
20,127230,1.287927956384383e+18,"oliverdarcy  brianstelter  joebiden or the  dnc will never address this.

please watch!

a new film by michael moore. 

 greennewdeal below.  aoc",-0.7973161833360791,negative,-1,trump,-1.0
22,168168,40195102.0,"greggutfeldshow  joebiden  democrats and  fakenewsmedia need to 
stop the attacks &amp; politicizing the  covid pandemic

2009  h1n1 deaths now estimated 15 times higher than initially reported according both cdc and who in lancet study.  swine flu was under joe's watch.",-0.9430886770132929,negative,-1,trump,-0.6363636363636364
31,212997,7.085525514074685e+17,"joebiden all you need to know about  joebiden ---   biden supports a knife wielding violent felon-  walterwallacejr ,  instead of  leos trying to defend their lives!!

 votered to save  america from the radical  democrats !!

 wednesdaymorning  wednesdaythoughts  kag2020",-0.876300445292145,negative,-1,trump,-0.7142857142857143
32,191995,1.1639318962980536e+18,"i .. agree with biden 👀, a bit harsh, but, ""master of shady deals"" hunter  biden must have known clinton more than me so..",0.1192224845290184,positive,1,trump,-0.5555555555555556
36,66178,9.24330050551509e+17,why is  biden being protected by  fbi &amp;  doj? what is going on in  america?  fbi held  hunterbiden  laptop for a year. what happened to the  america i grew up in?  wray do your job &amp;  durham is a no show.,-0.9312699162401259,negative,-1,trump,-1.0
38,203257,2890462752.0,"nytimes lmao, this is  misinformation!
you haven't published any  fbi &amp; us intelligence corroborated (no russian ties)  hunterbiden emails linking  joebiden to $ms from  russia (wires) &amp;  china.  i dare your readers to watch  tuckercarlson on  foxnews tonight at 8pm to hear the tapes!!",-0.7037018472328782,negative,-1,trump,-1.0
43,224916,1580179183.0,drbiden  joebiden piece of political garbage! please explain...,-0.9777479264885187,negative,-1,trump,-0.8181818181818182
44,31779,3390324809.0,"joe biden promises to end traditional 401(k)-style retirement savings tax benefits. what’s that mean? via  forbes   

joe  biden",0.10566285997629166,positive,1,trump,-0.5238095238095238
54,240493,162262266.0,cnn forced to report on how  pennsylvania voters really feel about  joebiden will tell you anything you want him to win!! anyone that looks at  biden &amp; believe’s he will be making decisions is as lost in space as-he is? if biden wins? you want socialism?,-0.8636120264418423,negative,-1,trump,-1.0
59,202208,1.286109124875477e+18,"is  joebiden campaigning in georgia a sign that he is:

1. worried he will lose a few key battleground states &amp; is desperate for a plan b to 270
2. confident based on internal polling that he is ahead in battleground states and trying to expand electoral map

 2020election",-0.07181790843605995,negative,-1,trump,-1.0
62,121903,263547117.0,"someone needs to point out biden has already run for president twice before, and the first time was over 20 years ago...that’s how long  biden has been in politics.  debates2020",0.061359068378806114,positive,1,trump,-0.5
68,136388,1.156240950928302e+18,"joebiden made 47 lies or misleading claims during the debate.
 debatetonight 
 factcheck
 burisma
 hunterbiden
 russia
 fracking
 renewableenergy 
 climatechange 
 superpredators",-0.9681289566215128,negative,-1,trump,-1.0
85,255211,1.2771103748823572e+18,i’ve looked for over a year and no one can name what  joebiden has done that is good for americans sad,-0.8310676896944642,negative,-1,trump,-0.5833333333333334
86,149490,3270367622.0,chuckcallesto because  hunterbiden is either getting high or rather not give a dam just like his father  joebiden,-0.9664582377299666,negative,-1,trump,-1.0
88,158557,8.844145653998346e+17,can somebody please splice this video with clips of  joebiden getting handsy and hair-sniffy with young women?,-0.8175684050656855,negative,-1,trump,-0.6
90,240412,214744445.0,bidenharris2020 huge breaking exclusive:  hunter  biden has a pornhub account where he uploaded his personal porn - including with family member   via  gatewaypundit,-0.4466552473604679,negative,-1,trump,-0.7142857142857143
91,84381,40195102.0,"ohio  michigan  wisconsin  minnesota  pennsylvania  florida  colorado  northcarolina  nevada  arizona

 joebiden  hunterbiden the hunter biden laptop contains a trove of hunter biden emails",0.008831074461340904,positive,1,trump,-0.6363636363636364
95,90897,2312293591.0,joebiden praises mic muting: ‘there should be more limitations on us‘  presidentialdebate  bidencrimefamiily  hunterbiden  hunterbidenemails  debatecommission    via  breitbartnews,-0.23442554846405983,negative,-1,trump,-1.0
97,229293,25280155.0,"jack how about not being  biased?  twitter allowed tweet after tweet of false information regarding the mueller investigation, yet now tweets regarding  biden, backed up with actual evidence, are censored. either you're honarable or not.  truth",-0.9326455269474536,negative,-1,trump,-0.5384615384615384
102,297073,29376009.0,"the  harrisbiden2020- bidenharris2020 campaign enlisting  ladygaga, a staunch opponent to fracking, to appear in  pennsylvania tells you 1 of 2 (maybe both) things about  joebiden.

 1 - he is not strong enough to run his own campaign.

 2 - his judgment is too poor.

both!",-0.9300761106424034,negative,-1,trump,-0.7142857142857143
110,93746,2468145078.0,"obama  biden deeply demonic for u.s. to pay for this ovr 32 yrs: ""..a young nigga on the warpath..when i'm finished, it's gonna be a bloodbath. of cops, dyin' in l.a. yo dre, i got somethin' to say. fuck the police"" ('88) &amp; ""stylin' on these niggas, stylin' on these hoes."" ('18)",-0.9767401244025677,negative,-1,trump,-1.0
112,604152,8.087674777695068e+17,vtchakarova  china is officially heralding their spectacular winning of global leadership race from america with a  6g satellite launch and  biden win. a futile insurrection appear to have extinguished even with last ditch scrambling. bigger  tragedy than  greek!,-0.5659958757460117,negative,-1,trump,-0.8
113,414235,149705785.0,with a 830k  vote lead and 80% reporting  biden would need to win almost every remaining vote to win.  pennsylvania it’s not something that is possible... without making it possible,0.5614821510389447,positive,1,trump,-0.5
114,85332,260527870.0,joebiden gets testy when local wisconsin reporter asks if son hunter profited off his family name (video) via  gatewaypundit,-0.111351003870368,negative,-1,trump,-0.5
118,270533,4113371687.0,"sleepyjoe ... lying again! the best part of his rant in  flint was at the end, when he wandered back to the podium. he was looking for his precious 😷. he looked like a doddering old fool. only a moron would vote for  joebiden.  kag  sundaymorning",-0.9726692750118673,negative,-1,trump,-0.8
120,84733,40195102.0,"ohio  michigan  wisconsin  minnesota  pennsylvania  florida  colorado  northcarolina  nevada  arizona 

 joebiden  hunterbidenlaptop  even before the hunter biden laptop surfaced an 87 page report in the senate
has detailed corruption relating to burisma",-0.605599076487124,negative,-1,trump,-0.6363636363636364
126,549394,382190496.0,joebiden  joebiden is a  criminal!!!!  nationalsecuritythreat!!!  beware  america!!!    petetruth43,-0.9781804366502911,negative,-1,trump,-1.0
130,80212,1617917486.0,repaoc theres a reason why  biden  kamalaharris &amp; every other democrat publicly denies supporting the green new deal because it would cost 100 trillion dollars! even if we go by the most modest count it would be 8 trillion who do you think we pay that ? us ! tax payers!,-0.7494890410453081,negative,-1,trump,-0.8461538461538461
134,47440,7.223504366578606e+17,biden: officers should “de-escalate” incidents with violent suspects by ...   via  youtube why not shoot the gun out of the criminal's hand like they do in hollywood? or have a social worker explain to the thug that violence is bad,-0.8637136036995798,negative,-1,trump,-0.7142857142857143
143,273847,1580179183.0,berniesanders hell no!  joebiden wake up america,-0.9521838203072548,negative,-1,trump,-0.8181818181818182
146,22134,193687333.0,flashback: joe  biden fat-shamed voter who questioned hunter's deals,-0.8741244771517813,negative,-1,trump,-1.0
147,6904,2386827427.0,more bad news for the biden’s .. is joe calling for another lid  today 🤦🏻‍♂️  joebiden   hunterbiden   china,-0.9666894336696714,negative,-1,trump,-0.6666666666666666
152,205585,2882780676.0,"we cannot &amp; should never disagree on intrinsical evils like, abortion, euthanasia, stem cell research &amp; same sex ""marriages"". all of which  joebiden the ""catholic"" supports. faithful catholics could never disagree with the pope on these issues as, biden clearly does  catholicvote",-0.7331128222867846,negative,-1,trump,-0.6923076923076923
155,221421,9.72572094612435e+17,"biden must have been one hell of a father 
or is it a father from hell?
his own kids are taking him down. 👇
 biden  bidencrimesyndicate  bidenfamilycorruption 
(u.s. politics)",-0.9348550667054951,negative,-1,trump,-1.0
166,70025,1.3158794935720755e+18,my body  elites choice. say what?  biden  eviljoe,-0.016797315329313278,negative,-1,trump,-1.0
174,551118,1.2628939966295695e+18,"joebiden 
is not president,
somebody should really tell the senile old pervert.",-0.9770165015943348,negative,-1,trump,-0.68
176,96725,64785149.0,i wonder if  kristenwelker will ask  joebiden what his favorite pie is or will she ask him about  foreignpolicy and  moneylaundering allegations against  hunterbiden  debates2020,-0.04726585000753403,negative,-1,trump,-0.5555555555555556
181,311827,1315651994.0,"lafayettejp p.s. doctor science, did you notice that though  usa infection rate increasing, death rate remaining flat here? recommend that like  dementia ridden  joebiden you hide in your basement+leave rest of us alone.  americans have a life to live, not  kowtowing to  ccp  china.  covid19",-0.8942991956137121,negative,-1,trump,-0.7894736842105263
182,84017,450145380.0,"msnbc  kwelkernbc if elected, do you think nancy pelosi would remove  joebiden by evoking  25thamendment (advanced cognitive deterioration🤪) or impeach him for his recent china/russian/ukrainian scandals?  debates2020  quidproquojoe  hunterbidenlaptop  election2020  americafirst  joebidenissick",-0.5340188723057508,negative,-1,trump,-1.0
183,199105,341031031.0,"titch_26  joebiden couldn't find  england on a map. he is a senile, crooked pervert. but apart from that, he is ok.",-0.9580285362899303,negative,-1,trump,-0.9142857142857143
185,550581,17875557.0,"dbongino i did the  's this a.m. on all the states compared to  hillary...it's not only milwaukee..it's az, or, &amp; even tx..if you just look at how  biden outperformed  hillary..it's shocking!  i did all 50 states because he won all major cities in about 90-95% of the states!",0.6202992424368858,positive,1,trump,-0.6923076923076923
186,302722,2846959064.0,"flyftrs102  joebiden a vote for  biden is a vote for  harris in reality

and who is  harris really?",0.18924711644649506,positive,1,trump,-0.6923076923076923
191,133869,2882780676.0,"what's better than fact checking a lier than, with a good stream of videos!  joebiden lies and we cut him cold. at the very least, he lies before or, he is lying now. who can trust a lier?  timetowakeupusa",-0.9707118687219918,negative,-1,trump,-0.6923076923076923
196,78614,9.396471169719336e+17,obama sold the  usa out to china - and  biden was the enabler,-0.9565282082185149,negative,-1,trump,-0.7
197,1645,1723392776.0,"what's the hot money on....

 biden owwwt by saturday,

or...

 biden's owwwt on monday❓❓❓",0.01732427068054676,positive,1,trump,-0.7704918032786885
200,196201,7.609309906384568e+17,"re  biden - wow i've just seen the most lewd stuff !!

a kid no less -",-0.9655751534737647,negative,-1,trump,-0.7142857142857143
201,212356,1.1942588060431073e+18,"now the shit of  joebiden and  hunterbiden connects to  hongkong finally.
chief spy dr. patrick ho, who is saying that only hk protesters are connected to foreign powers?
 bidenlaptopsmatter
 china  chinazi  elections2020",-0.8543804956134409,negative,-1,trump,-0.6666666666666666
212,28776,282685004.0,"watch ""the  biden crime family’ is like the sopranos but worse"" on youtube -",-0.938848146237433,negative,-1,trump,-0.5384615384615384
221,166537,1.2886365907352166e+18,biden is demented,-0.9594078469090164,negative,-1,trump,-0.8181818181818182
222,165343,4498209202.0,"joebiden didn't seem very calm or comfortable in his ""home"" state of  pennsylvania today!  that's bc he knows he's been had...he knows he has said many times he will stop  fracking!  he's a flipfopper/liar &amp;  pennsylvanians all know it.  buckscounty (1of2)",-0.9666815281379968,negative,-1,trump,-0.631578947368421
225,163395,4581309612.0,"joebiden needs a rocker to get a crowd. no one goes to see  joe. why see him? no accomplishments. no real plans, just talk. empty platitudes.",-0.9663696885108948,negative,-1,trump,-0.5
227,216644,7.085525514074685e+17,"realtina40  joebiden  kamalaharris  biden did say something.... something a typical pandering turd politician would say----    

 joebiden does not care about  lawandorder or police lives!! 

 wednesdaythoughts  kag",-0.9692592944484204,negative,-1,trump,-0.7142857142857143
229,37141,1723392776.0,what makes michigan j.  biden 'go?',-0.016182116232812405,negative,-1,trump,-0.7704918032786885
234,84756,533670216.0,"rudy giuliani: anonymous source who confirms joe biden is involved in hunter biden pay-for-play deals is ready to go public ~

delaware punted to  joebiden ‘s bodyguard fbi dir chris wray, where  democratcrimes go to hide!

 voteredlikeyourlifedependsonit",-0.3034325921908021,negative,-1,trump,-1.0
239,17821,3381891372.0,timrunshismouth didn’t have time. he rambled on with completely disconnected go nowhere meaningless answers that even  dem hack  gstephanopoulos   had to save  joebiden from himself.,-0.9690229701809585,negative,-1,trump,-0.8823529411764706
240,96453,1.156240950928302e+18,why is  biden too scared to interview with  seanhannity or  tuckercarlson ?,-0.920002332655713,negative,-1,trump,-1.0
243,52777,1.309312063018279e+18,hakeem_jeffries  joebiden is a traitor.  hakeem_jeffries is a traitor  bidencrimefamily,-0.9787050778977573,negative,-1,trump,-0.6666666666666666
251,570620,8.602995479683645e+17,"people trying to defend  biden's ""stuttering"", when it's obviously a brain impediment, are in self-denial; biden sure as hell didn't stutter - not once - when pushing for the iraq war again and again:",-0.8364414945244789,negative,-1,trump,-0.6
258,222808,3246529033.0,"rather than actually support  biden,  obama pushes for new american revolution, generally not a promising scenario for the guy at the top (who he's saying should be biden). 🤔",-0.9306031207088381,negative,-1,trump,-1.0
261,52883,1.2592168988410962e+18,"joebiden “if you don’t fire the prosecutor investigating my son’s company you don’t get the billion dollars, we’ll son of a bitch he got fired” and then we got paid -  joebiden",-0.9330706619657576,negative,-1,trump,-0.6470588235294118
265,122247,1.2186630104929935e+18,joebiden has crap in his ears,-0.9750063072424382,negative,-1,trump,-0.7777777777777778
271,173164,1228205593.0,tb_times  bidenharris2020landslide  biden,0.2131476211361587,positive,1,trump,-0.5102040816326531
273,469790,382190496.0,joebiden  joebiden is a  china  lover!!!!  nationalsecuritythreat!!!  beware  america!!!    nypost  nypost  petetruth95,-0.9626173684373498,negative,-1,trump,-1.0
275,473972,382190496.0,joebiden  joebiden is  bad!!!!  nationalsecuritythreat!!!  beware  america!!!    nypost  nypost  petetruth62,-0.9743278520181775,negative,-1,trump,-1.0
276,131073,7.429307006979031e+17,"dancrenshawtx i don’t think anyone in the  mainstreammedia’s going to judge  joebiden too harshly.  in fact, the big surprise to me would be the fact checkers not responding, “we wuv you, pwesident gwampa joe!”",0.7144673559814692,positive,1,trump,-0.5348837209302325
283,141419,1.2475745436166103e+18,"guilty sick and twisted sex trafficking embezzlement fool, joe  biden boob!",-0.9792302758432925,negative,-1,trump,-1.0
285,57440,1.3158794935720755e+18,"joebiden 
clean your room. make your bed. do you homework. .......  joebiden",-0.043788645416498184,negative,-1,trump,-1.0
286,280566,75077990.0,momof3inpa  kellyannepolls that's what you desperately want to believe.   joebiden has lost and you know it.,-0.9187382846139371,negative,-1,trump,-0.7142857142857143
287,770580,28107703.0,newsmax: we're not calling election for  biden    newsmax via  newsmax,-0.03518730774521828,negative,-1,trump,-0.5
293,26944,823121846.0,twitter still blocking retweets of   nypost articles.  dorsey continues his lies for  joebiden.,-0.9550258782692254,negative,-1,trump,-0.8823529411764706
297,379839,1.227101738706051e+18,what did i say? listen to  dickmorristweet  biden doing the illusion of 'winning' while  dems try their best to 'find' ballots. please listen to  newsmax,-0.7314544674009085,negative,-1,trump,-0.6363636363636364
302,95507,16936686.0,"based on what we saw in june and july, and recently in  portland, i'd say police and fire depts need to be ready for nov 4th in the event  biden loses. the mob will not take that election result sitting down, they will react with violence....  electionedge",-0.7956066280603409,negative,-1,trump,-0.6
305,215309,9089072.0,philiprucker where's your story on revelations by  tonybobulinski on corruption by  joebiden?,-0.10150827933102846,negative,-1,trump,-1.0
306,263648,1.3073599460366991e+18,billyboy2749  gehrig38  jrubinblogger sure billy.  obama  biden only brought slavery to libya.,-0.9545980193652213,negative,-1,trump,-0.8181818181818182
307,572629,416490624.0,cnn projects  biden to win pennsylvania and the presidency. live.,0.6667129076085985,positive,1,trump,-0.7142857142857143
312,35816,9.72692132766118e+17,"let me translate this tweet:

for the love of god! vote now because when rudy drops the next package with the videos nobody will like me anymore!

 joebiden is falling apart. cbs asked him about the  nypost article and he bolted. the damn is about to burst.",-0.924271309748292,negative,-1,trump,-0.7142857142857143
314,53061,341031031.0,kramerreport  china is throwing  joebiden and his crooked kid to the wolves.,-0.9756503563839942,negative,-1,trump,-0.9142857142857143
315,35683,1.2396271185076347e+18,"ericmetaxas  surabees why does everyone keep forgetting  joebiden is a  democrat? democrats do not face consequences for corruption,  hillaryclinton and  billclinton are all the evidence you need. even being involved with a sex slave is not enough to make bill clinton persona non grata.",-0.9654998967889696,negative,-1,trump,-0.8333333333333334
316,550389,1.3031785882425385e+18,this is what the united socialist of america will look like once the  socialistic  joebiden and  kamalaharris take office. all you who vote for them have yourselves to blame.  donotconcede mr. president.  donotconcedeunderanycircumstances,-0.7108455095440149,negative,-1,trump,-0.6363636363636364
323,308518,7.801544191869829e+17,"biden keeps forgetting why he is wearing a mask, takes it down to speak while standing next to  ladygaga in  press queue.",-0.6323569575324655,negative,-1,trump,-0.5
324,283844,21400502.0,"in touchless in philadelphia: omg! 😂🤣😂
someone tell  joebiden the ""eagles"" jacket he claims he's wearing is a delaware “blue hens” jacket! see how well joe is touch with pennsylvania? sometimes when it comes to  biden you can’t make this crap up!",0.4384106546640396,positive,1,trump,-0.5882352941176471
328,164528,1.165100350841348e+18,"cnn employee some sick bastards !?!? 
no wonder they love  joebiden 

 fakenewsmedia  cnn",-0.9788918294943869,negative,-1,trump,-0.6923076923076923
332,330140,156549358.0,joebiden is on the streets in  pennsylvania still campaigning even though voting has begun.  cnn is giving free adverts as usual to  dnc .  ac360  election2020,-0.08177387341856956,negative,-1,trump,-0.8
334,315735,1.1973325164384543e+18,"rosenbergradio if  biden was so great, why was crime and poverty higher in minority communities under him?  why did we have isis, and an opioid crisis?  we did nothing happen with dreamers and our jobs go overseas?  he’s a propped up puppet now.  votethemallout",-0.953131543006748,negative,-1,trump,-0.7777777777777778
336,163031,4498209202.0,do you really want this angry old man who calls americans in  pennsylvania chumps for not voting for him to be  potus? a vote for  joebiden is a vote4 at least 4 dark winters!  he has zero ideas to stop  covid19..he can't even stop coughing in his hand!   pennsylvaniaforbiden ??,-0.9769119455013424,negative,-1,trump,-0.631578947368421
342,100428,845008742.0,kristen welker if you are a true journalist and not a demo hack you have to bring up hunter's china deals as they pertain to his father  joebiden and how the family and him profited from his vp office.  this is not going away and is a big story. cnn  msnbc  foxnews,-0.3153131604194641,negative,-1,trump,-1.0
344,743747,2281727857.0,"does anyone else hear  biden slurring?
it's just a matter of time, until he steps down...

not sure what will happen with  election2020, though. 

all of this is crazy.",-0.9508471437729895,negative,-1,trump,-0.75
348,304149,341031031.0,joebiden has aged a decade since  news broke of the  hunter scandal involving young chinese girls. he is living in fear of chinese reprisals.,-0.9660941793117672,negative,-1,trump,-0.9142857142857143
355,271405,1617917486.0,why no one should vote for  joebiden   via  youtube,-0.9045451418496668,negative,-1,trump,-0.8461538461538461
360,79584,2735465556.0,"joebiden omg, i’m listening to scientists but i’m not gonna do anything about  climatechange cause my money is with the fossil fuel industry that’s joe  biden.

 voteblue for more evil than pretend it’s lesser evil.
 electionday  blameblackmen  wednesdaymorning",-0.8884918801486492,negative,-1,trump,-0.8461538461538461
