,Unnamed: 0,user_id,cleaned_tweets,sentiment,sentiment_category,support_candidate,user_support_candidate,user_support_level
17,202355,1.1570722569855222e+18,"imreallyimprtnt hope this is correct &amp; the lead by  biden stays strong.🤞

the map's projected votes rely on
things going as best as
possible...e.g., that everybody's
votes get counted in time, etc.

reticent to rt it bc
by no means do we have this
 election2020 sewn up

still go  votebiden!",0.8512743972241879,positive,1,biden,0.625
41,71357,19403567.0,"bluetx2020  frakermonica  betoorourke thanks to them, brave texans are risking their lives to vote early. no matter what the survey polls say,  vote for  joebiden  bidenharris &amp; down-ballot democratic as if your life depends on it because it just might! the life you save just might be your own.",0.9504318523686379,positive,1,biden,1.0
42,155886,2380259108.0,"in-depth - ""joe  biden has vowed that the  us could rejoin the iran nuclear deal if he wins the 2020 election. but time might be running out"" write giorgio cafiero and diana vasconcellos",0.12526553310453892,positive,1,biden,0.5454545454545454
45,448308,39240673.0,"usaelections2020 : will govern as american president, says  joebiden as democrats win wisconsin, michigan

live updates:",0.3831084808334708,positive,1,biden,0.8333333333333334
48,427292,16641585.0,when will we know the results of the 2020 election? these pa. counties won't start counting ballots until wednesday  pennsylvania  earlyvote  vote  election  biden  blueshift,-0.19551406847313046,negative,-1,biden,0.5555555555555556
52,224139,19403567.0,"brave michiganders are risking their lives to vote early. no matter what the poll surveys say,  vote for  joebiden  bidenharris &amp; down-ballot democratic as if your life depends on it because it just might! the life you save just might be your own.",0.8519723815843463,positive,1,biden,1.0
65,556050,309483282.0,"come on, joe; say it:  wakandaforever!!

 biden
 bidenharris2020
 presidentbiden",0.5762607324868441,positive,1,biden,0.7142857142857143
67,418432,2356127598.0,"new -  biden campaign manager: “joe biden is on track to win this election and he will be the next president of the united states.”  cbsnews  diplomacy140 
 uspresidentialelections2020  joebiden",0.9768478254554793,positive,1,biden,1.0
81,21011,43855487.0,"us elections: staffer on joe biden's plane tests  coronavirus positive 

 uselections2020 
 joebiden  covid19",-0.37753197457641363,negative,-1,biden,0.7142857142857143
84,652744,1.312246113244795e+18,"lebanese president congratulates joe biden on winning u.s. presidential election, voices hope for ""a return to balance in u.s.-lebanese relations""  - presidency twiiter account  news  fx  u.s  biden",0.9814806365175173,positive,1,biden,0.6666666666666666
