,Unnamed: 0,user_id,cleaned_tweets,sentiment,sentiment_category,support_candidate,user_support_candidate,user_support_level
0,191756,611585332.0,"if  joebiden is elected  potus bojo can forget anything that even appears to disadvantage  ireland. 
5/8  irish: ( even says ""god love 'ya"")  joe will not pick up the phone for anything that threatens  gfa. 
 nancypelosi already told y'all &amp; she'll be back as speaker
she ratifies",0.2887343540787697,positive,1,biden,0.2631578947368421
9,270029,122235486.0,great! now  vote !  biden,0.9793360568583012,positive,1,biden,0.2857142857142857
70,11767,117327100.0,"funder  napernurse already voted for  biden by  absenteeballot. plan to skip both. trim my toe nails. 

it's a choice between pitiful dementia patients. held my nose and voted *against* the  maga sociopath. 😬  👈

 bidenharrislandslide2020  bidentownhallabc",-0.29842107743024826,negative,-1,biden,0.42857142857142855
74,300348,3362914971.0,joebiden is the right man for the job  thehill,0.9814882294740528,positive,1,biden,0.4025974025974026
82,546102,1.2811456617405522e+18,let the healing of the usa being  president elect  biden  auspol,0.9325907638994977,positive,1,biden,0.4146341463414634
89,291397,2759413025.0,"this 👇🏾volunteer:  
vote  bidenharristosaveamerica. evidence your vote journey. voter suppression is real.
 makeitablowout  vote   bidenharris2020  flipthesenateblue.
 protectdemocracy:   
we  fbpe,  facciamorete &amp;  fbr back  biden",0.1943332925438881,positive,1,biden,0.36363636363636365
96,336306,18993395.0,"joebiden has started  electionday with a visit to church - and the grave of his late son, beau.",0.030656060203909874,positive,1,biden,0.3333333333333333
122,132345,7.117604673838776e+17,"watch | i have made it very clear within 100 days i am going to send us congress a pathway to citizenship for over 11 million undocumented people...they are going to be immediately certified again to be able to stay in the country:  biden 

 debate2020  presidentialdebate",0.6651481413282454,positive,1,biden,0.46153846153846156
125,461068,8.022192241313997e+17,biden only down .6 now 10:30pm in  georgia,0.04136991500854492,positive,1,biden,0.42857142857142855
137,334362,1.2240304183805092e+18,americasgreatestmistake  votehimout let’s do this!  firetheliar2020 and hire  joebiden  bluewave2020,-0.9421866293996572,negative,-1,biden,0.23076923076923078
153,720018,20751449.0,"live updates: congress president  soniagandhi congratulated u.s. president-elect  joebiden and vice president-elect,  kamalaharris",0.9582943704444915,positive,1,biden,0.4666666666666667
199,348979,54361678.0,"joebiden what to expect election night.
ignore the drama queen (we all know who that is)
vote no matter what.

vote joe &amp; kamala 
 joebiden  joebiden  kamalaharris  kamalaharris",0.17329008504748344,positive,1,biden,0.2702702702702703
241,743315,9.796904868720516e+17,"pres-elect biden: cites hymn that is a family standard, ""soar on eagles wings ... ."" let us ""be a nation we know we can be."" ends speech.  biden  election  anthonymace",0.7118028861004859,positive,1,biden,0.2857142857142857
264,64219,7.566595918328668e+17,bing7789  emigre80  nycanegirl  mrspc48  pithypacky  firedup79  mrtamhas  theepitts  thestevethecat  yourbodybible  gkanders  robadamsfl  boschii  dianetoucan  tulipglory i think they're scared of  biden doubling his lead again just like after the first debate!,-0.2619343437254429,negative,-1,biden,0.42857142857142855
290,417063,20751449.0,"joebiden says ‘won’t rest until every vote counted’
 usaelections2020
more updates:",0.11087372526526451,positive,1,biden,0.4666666666666667
304,281303,1.0014677806700175e+18,the stock market says  joebiden will win,0.8432517924811691,positive,1,biden,0.3333333333333333
317,706234,22671315.0,folks are celebrating in  seattle tonight. cheers!  joebiden is giving a victory speech.  dwatchnews_nam  jeffsantosshow  election2020,0.9871812334749848,positive,1,biden,0.3333333333333333
349,71889,141991895.0,"southcarolina  charleston  sc vote this old white guy out loud and clear.  enough voter obstruction. enough complicity. enough corruption &amp; catering to corporations, nra and lobbyists.  enough to covid herb immunity genocide policies.  vote  harrisonjaime &amp;  joebiden for decency",-0.9662279319018126,negative,-1,biden,0.3333333333333333
353,478635,68927629.0,"mcpodcast | in this edition of 'macro minutes' podcast,  aruproytweets talks with jayant dasgupta, former indian ambassador to  wto, about what a likely joe biden victory means for india-us trade ties &amp; more 🎙️.

 usaelections2020  uselections  joebiden",0.42914223903790116,positive,1,biden,0.4117647058823529
398,199156,6.990231667613368e+17,"vladimir putin just defended joe and hunter biden over scandal – the right scoop
 joebiden   bidenharris2020   russia  russia  russia",0.21564136445522308,positive,1,biden,0.3333333333333333
425,348514,18959676.0,"biden  biden2020  joebiden  kamalaharris  hillaryclinton  barackobama  democrats  thedemocrats  projectlincoln  votebiden  abc  cbsnews  nbcnews  cnn  msnbc  cspan   abc  nbc  cbs  cnn  msnbc

obama--surrender our rights to the new world order",-0.8073212057352066,negative,-1,biden,0.391304347826087
429,21138,61041270.0,"libertysjustice  joebiden has the quiet, caring competence we need.

let's show our  bidenharris support. plant a yard sign. wear a cap, button, sticker.  volunteer, phones.

 joebidentownhall  biden  votebluetoendthisnightmare  votebluetosaveamerica  flipthesenateblue",0.9464871073141694,positive,1,biden,0.42857142857142855
463,17517,456884852.0,bidentownhall i am voting for  joe  biden first and foremost because he is a great man!  a thoroughly decent human being.,0.9908756848890334,positive,1,biden,0.4
468,167249,80483638.0,"tuesday,  biden will give a speech re: ""bringing americans together to address the crises facing our nation,"" per campaign guidance.

it'll be in the afternoon, &amp; take place in warm springs, ga.

afterward, he'll participate in an get-out-the-vote event in atlanta.

 election2020",0.3275376809760928,positive,1,biden,0.3333333333333333
475,249009,399774230.0,"joebiden 

this was and is joe biden",0.03781120199710131,positive,1,biden,0.25
482,567505,37513686.0,"don't wake me up until the networks call it for  biden!
   caturday",0.2515601832419634,positive,1,biden,0.4782608695652174
506,440278,1682940577.0,this is what a leader looks like america! 🇺🇸 for the past 4 years you've been gaslit. you were primed for  fascism for years before that. it will take a long time to heal. the collective mind must transform.  joebiden and  kamalaharris will help put us back on a road to healing.,0.07753460109233856,positive,1,biden,0.3333333333333333
531,58924,371229186.0,"there are new questions this morning about an unverified report targeting  joebiden ’s son,  hunterbiden, and its potential ties to a  russian disinformation effort aimed at influencing the u.s.  election2020.",-0.6485928534530103,negative,-1,biden,0.3793103448275862
539,256175,1.2811456617405522e+18,tucker carlson backpedals on  hunter  biden story   via  youtube fake news,-0.8924187964294106,negative,-1,biden,0.4146341463414634
